query,test_case_name,success,score,reason,actual_output,expected_output
Jak dlouho mám propracovávat těsto na štrúdl?,test_case_104,True,0.8333333333333334,"The score is 0.83 because while mostly relevant, the output contained a statement about enjoying the *finished* product, not actively contributing/kneading the dough as the input prompted.","Těsto na jablečný štrúdl byste měl/a propracovávat tak dlouho, dokud není hladké, lesklé a přestane lepit. Tento proces by měl trvat dostatečně dlouho, aby bylo těsto ideálně vypracované. Jakmile je těsto hotové, vytvořte z něj bochánek, zabalte ho do fólie a nechte 30 minut v lednici odpočinout. Dobrou chuť!","Těsto se propracovává tak dlouho, dokud není hladké, lesklé a než přestane lepit."
"Jak dlouho a jakým způsobem se restuje houbová kaše, a jak se dochucuje?",test_case_105,True,0.8333333333333334,"The score is 0.83 because while the response likely answers the core questions, it includes introductory/closing remarks or source attribution that are not directly part of the requested information, hence it isn't a 1.0. However, it's still a good score since most of the content addresses the input.","Omlouvám se, ale v naší databázi receptů nemám žádný recept na houbovou kaši. Tato informace není z databáze receptů, ale mohu nabídnout obecnou radu: při přípravě houbové kaše byste mohli začít s restováním hub podobně jako je to uvedeno u receptu ""Hovězí roštěnky na houbách"". Čerstvé houby očistěte, větší nakrájejte a na vyšším ohni krátce orestujte na másle. Dochucení závisí na osobní chuti, obvykle se používá sůl, pepř a případně bylinky.

Pokud byste chtěli vědět více o konkrétním receptu, dejte mi vědět!","Houbovou kaši je nutné restovat v suché rozpálené pánvi za stálého míchání při vysoké teplotě po dobu 8–10 minut, dokud se z hub neodpaří veškerá tekutina. Poté se osolí. Hotovou kaši necháme vychladnout v misce."
Jak se krájí hovězí svíčková Wellington po upečení?,test_case_106,True,0.75,"The score is 0.75 because while the response focuses on cutting Beef Wellington, the closing remark 'Dobrou chut!' doesn't directly answer the cutting instructions.","Hovězí svíčková Wellington se krájí rovně na porce po upečení. Je důležité nechat maso odpočinout z trouby při pokojové teplotě asi 15 minut před krájením, aby se šťávy uvnitř rovnoměrně rozložily. Dobrou chuť!",Hotové maso se krájí rovně na porce.
Jak mám postupovat při tvarování bifteki?,test_case_107,True,0.875,"The score is 0.88 because while most of the response likely details how to shape bifteki, the inclusion of a conversational closing statement slightly detracts from its overall relevancy.","Pro přípravu Řeckého bifteki postupujte takto: Směs rozdělte na 6 částí. Z každé části vytvarujte oválnou placku. Doprostřed placky položte špalíček sýra (sýr rozřízněte na 6 špalíčků dlouhých 5 cm) a maso zabalte do oválné šišky tak, aby sýr byl uprostřed. Takto připravené bifteki můžete grilovat. Dobrou chuť!","Směs masa rozdělte na 6 částí. Z každé části vytvarujte oválnou placku, uprostřed které bude špalíček sýra. Maso pak zabalte do oválné šišky."
Můžu použít jiné maso než hovězí na přípravu bifteki a jak to ovlivní chuť?,test_case_108,True,0.8333333333333334,"The score is 0.83 because while the response likely addresses the core question, the presence of a closing remark unrelated to meat substitution negatively impacts the overall relevancy.","Ano, určitě! Hovězí maso můžete nahradit masem jehněčím při přípravě Řeckého bifteki. Pamatujte, že čím více tučných částí na jehněčím mase necháte, tím bude jeho chuť výraznější. Jehněčí maso obecně dodá pokrmu trochu odlišnou chuť, která je bohatší a aromatičtější než hovězí. Pokud máte rádi jehněčí, určitě to stojí za vyzkoušení. Dobrou chuť!","Místo hovězího masa můžete použít jehněčí. Čím více tučných částí ponecháte, tím výraznější chuť bude mít maso."
"Co mám udělat se zbylou masovou náplní, když mám menší papriky?",test_case_109,True,0.75,"The score is 0.75 because there's only a minor irrelevant statement (a pleasantry), slightly impacting overall relevancy, but the core response likely addresses the user's question about leftover filling.","Pokud vám zbyla masová náplň a papriky jsou menší, můžete z ní jednoduše vytvořit karbanátky. Ty pak dejte péct k paprikám nebo je osmažte na pánvi dozlatova. Dobrou chuť!","Pokud vám zbude masová náplň a máte menší papriky, můžete z ní vytvořit karbanátky a upéct je s paprikami nebo osmažit na pánvi dozlatova."
"Co mám dělat se zbylou masovou náplní, pokud mám menší papriky než je uvedeno v receptu?",test_case_110,True,0.8333333333333334,"The score is 0.83 because while the response is relevant overall, it contains a closing statement that doesn't add to the core question about how to handle leftover filling with smaller peppers.","Pokud máte menší papriky a zbyde vám masová náplň, jednoduše z ní vytvořte karbanátky. Ty pak můžete buď péct společně s paprikami, nebo je osmažit na pánvi dozlatova. Dobrou chuť!","Pokud vám zbyde masová náplň a máte menší papriky, můžete z ní vytvořit karbanátky a upéct je s paprikami nebo osmažit na pánvi dozlatova."
Jak mám nakrájet cibuli a česnek do boloňského ragú?,test_case_111,False,0.25,"The score is 0.25 because the response includes irrelevant statements like general follow-ups and references to unrelated vegetables, failing to specifically address how to cut onions and garlic for a Bolognese ragu.","Do boloňského ragú cibuli i česnek nakrájejte najemno. Mrkev a celer pak nakrájejte na kostičky o hraně 0,5 cm. Pokud budete potřebovat další informace o receptu, dejte mi vědět! Dobrou chuť!","Do těstovin s boloňským ragú se používá cibule a česnek, obojí nakrájené najemno."
Jak mám nakrájet cibuli a česnek do boloňského ragú?,test_case_112,True,0.75,"The score is 0.75 because while the core instructions are relevant, the inclusion of a closing remark like 'Enjoy your meal!' introduces a slight irrelevancy, preventing a perfect score.",Pro přípravu boloňského ragú podle receptu je třeba cibuli a česnek nakrájet najemno. To pomůže ingrediencím se rovnoměrně rozvařit a rozvinout svou chuť v omáčce. Dobrou chuť!,"Do boloňského ragú patří cibule a česnek, obojí nakrájené najemno."
"Bude mít rajská omáčka stejnou barvu, když ji uvařím z čerstvých rajčat namísto protlaku?",test_case_113,True,0.75,"The score is 0.75 because while the core question about using fresh tomatoes instead of tomato paste is addressed, the inclusion of a closing remark like 'Enjoy your meal!' introduces irrelevant content, lowering the score.","Rajskou omáčku můžete určitě uvařit i z čerstvých rajčat, ale nebude mít tak krásně červenou barvu, která je pro českou rajskou tolik typická. Dobrou chuť!","Rajskou omáčku je možné uvařit i z čerstvých rajčat, ale nebude mít tak krásně červenou barvu."
S čím jiným než s houskovým knedlíkem se dá podávat rajská omáčka?,test_case_114,True,0.75,"The score is 0.75 because while the response likely provides relevant side dish alternatives to houskový knedlík for rajská omáčka, it also includes irrelevant conversational elements like ""Dobrou chuť!"", which detracts from the overall focus and relevance.","Rajská omáčka se dá podávat nejen s houskovým knedlíkem, ale také s dušenou rýží nebo těstovinami. Dobrou chuť!",Rajskou omáčku lze podávat s dušenou rýží nebo těstovinami.
